species,is_target_species,train_images,validation_images,total_images,train_percentage,validation_percentage,validation_deviation_from_20_percent,n_collection_dates,all_collection_dates,n_train_dates,train_dates,n_validation_dates,validation_dates,date_overlap,n_overlapping_dates,overlapping_dates,n_sites,all_sites,n_train_sites,train_sites,n_validation_sites,validation_sites,site_overlap_any_date,n_overlapping_sites_any_date,overlapping_sites_any_date,shared_date_site_details,n_known_site_overlaps_on_shared_dates,known_site_overlaps_on_shared_dates,missing_site_metadata_on_shared_dates,split_method,split_group,split_reason,validation_selection_rule,random_seed
Ephedra alata Decne.,True,860,204,1064,80.82706766917293,19.172932330827066,0.8270676691729335,6,"08-03-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025, 21-02-2025",4,"08-03-2024, 22-11-2024, 23-12-2024, 31-01-2025",2,"04-01-2025, 21-02-2025",False,0,,2,"K6, K11",2,"K6, K11",1,K6,True,1,K6,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Farsetia aegyptia Turra,True,419,185,604,69.37086092715232,30.629139072847682,10.629139072847682,4,"22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",3,"22-11-2024, 23-12-2024, 04-01-2025",1,31-01-2025,False,0,,2,"K8, K12",2,"K8, K12",0,,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Gymnocarpos decander Forssk.,True,571,129,700,81.57142857142857,18.428571428571427,1.571428571428573,4,"22-11-2024, 04-01-2025, 31-01-2025, 21-02-2025",3,"22-11-2024, 04-01-2025, 31-01-2025",1,21-02-2025,False,0,,3,"K8, K9, K11",2,"K8, K11",1,K9,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Haloxylon salicornicum (Moq.) Bunge ex Boiss.,True,672,170,842,79.80997624703087,20.19002375296912,0.19002375296912177,5,"20-01-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",4,"20-01-2024, 22-11-2024, 04-01-2025, 31-01-2025",1,23-12-2024,False,0,,2,"K6, K8",1,K8,1,K6,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Heliotropium arbainense Fresen.,True,674,206,880,76.5909090909091,23.40909090909091,3.40909090909091,4,"20-01-2024, 08-03-2024, 23-12-2024, 31-01-2025",3,"20-01-2024, 08-03-2024, 23-12-2024",1,31-01-2025,False,0,,1,K1,1,K1,0,,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Iphiona mucronata (Forssk.) Asch. & Schweinf.,True,110,29,139,79.13669064748201,20.863309352517987,0.8633093525179873,2,"23-12-2024, 31-01-2025",2,"23-12-2024, 31-01-2025",2,"23-12-2024, 31-01-2025",True,2,"23-12-2024, 31-01-2025",0,,0,,0,,False,0,,23-12-2024: Train[NA] | Validation[NA] | Shared[None] ; 31-01-2025: Train[NA] | Validation[NA] | Shared[None],0,,139,image_level_random,limited_collection_dates_random,"Multiple collection dates were available, but temporal coverage was insufficient for a practical purely date-separated partition; image-level random splitting was therefore used.",Image-level random partitioning was used because collection-date coverage was insufficient for the date-separated strategy.,42.0
Limonium pruinosum (L.) Chaz.,True,307,89,396,77.52525252525253,22.474747474747474,2.474747474747474,5,"22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025, 21-02-2025",4,"22-11-2024, 23-12-2024, 04-01-2025, 21-02-2025",1,31-01-2025,False,0,,2,"K8, K11",2,"K8, K11",0,,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Lycium shawii Roem. & Schult.,True,1073,280,1353,79.30524759793053,20.694752402069476,0.6947524020694757,6,"20-01-2024, 08-03-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",2,"20-01-2024, 08-03-2024",4,"22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",False,0,,7,"K6, K7, K8, K9, K10, K11, K12",5,"K8, K9, K10, K11, K12",2,"K6, K7",False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Nitraria retusa (Forssk.) Asch.,True,704,314,1018,69.15520628683693,30.844793713163064,10.844793713163064,5,"22-12-2023, 20-01-2024, 22-11-2024, 04-01-2025, 31-01-2025",4,"22-12-2023, 20-01-2024, 22-11-2024, 31-01-2025",1,04-01-2025,False,0,,3,"K1, K11, K12",2,"K11, K12",1,K1,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Ochradenus baccatus Delile,True,1396,498,1894,73.7064413938754,26.293558606124606,6.293558606124606,7,"22-12-2023, 20-01-2024, 08-03-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",6,"22-12-2023, 20-01-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",1,08-03-2024,False,0,,5,"K6, K8, K9, K10, K12",5,"K6, K8, K9, K10, K12",0,,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Peganum harmala L.,True,85,22,107,79.43925233644859,20.5607476635514,0.5607476635513997,1,04-01-2025,1,04-01-2025,1,04-01-2025,True,1,04-01-2025,0,,0,,0,,False,0,,04-01-2025: Train[NA] | Validation[NA] | Shared[None],0,,107,image_level_random,single_date_random,Only one collection date was available; date-separated partitioning was therefore impossible.,Image-level random partitioning was used because collection-date coverage was insufficient for the date-separated strategy.,42.0
Rumex vesicarius L.,True,340,85,425,80.0,20.0,0.0,1,31-01-2025,1,31-01-2025,1,31-01-2025,True,1,31-01-2025,0,,0,,0,,False,0,,31-01-2025: Train[NA] | Validation[NA] | Shared[None],0,,425,image_level_random,single_date_random,Only one collection date was available; date-separated partitioning was therefore impossible.,Image-level random partitioning was used because collection-date coverage was insufficient for the date-separated strategy.,42.0
Salsola imbricata Forssk.,True,407,105,512,79.4921875,20.5078125,0.5078125,5,"22-11-2024, 04-01-2025, 31-01-2025, 07-02-2025, 21-02-2025",4,"22-11-2024, 04-01-2025, 07-02-2025, 21-02-2025",1,31-01-2025,False,0,,2,"K11, K12",2,"K11, K12",0,,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Stachys aegyptiaca Pers.,True,391,100,491,79.63340122199592,20.366598778004075,0.36659877800407514,4,"20-01-2024, 22-11-2024, 04-01-2025, 31-01-2025",4,"20-01-2024, 22-11-2024, 04-01-2025, 31-01-2025",4,"20-01-2024, 22-11-2024, 04-01-2025, 31-01-2025",True,4,"20-01-2024, 22-11-2024, 04-01-2025, 31-01-2025",1,K11,1,K11,1,K11,True,1,K11,20-01-2024: Train[K11] | Validation[K11] | Shared[K11] ; 22-11-2024: Train[K11] | Validation[K11] | Shared[K11] ; 04-01-2025: Train[NA] | Validation[NA] | Shared[None] ; 31-01-2025: Train[NA] | Validation[NA] | Shared[None],2,"20-01-2024:K11, 22-11-2024:K11",348,image_level_random,limited_collection_dates_random,"Multiple collection dates were available, but temporal coverage was insufficient for a practical purely date-separated partition; image-level random splitting was therefore used.",Image-level random partitioning was used because collection-date coverage was insufficient for the date-separated strategy.,42.0
Suaeda aegyptiaca (Hasselq.) Zohary,True,426,110,536,79.47761194029852,20.522388059701495,0.5223880597014947,3,"04-01-2025, 31-01-2025, 07-02-2025",3,"04-01-2025, 31-01-2025, 07-02-2025",3,"04-01-2025, 31-01-2025, 07-02-2025",True,3,"04-01-2025, 31-01-2025, 07-02-2025",3,"K5, K8, K9",3,"K5, K8, K9",3,"K5, K8, K9",True,3,"K5, K8, K9","04-01-2025: Train[K5,K8] | Validation[K5,K8] | Shared[K5,K8] ; 31-01-2025: Train[NA] | Validation[NA] | Shared[None] ; 07-02-2025: Train[K5,K9] | Validation[K5,K9] | Shared[K5,K9]",4,"04-01-2025:K5, 04-01-2025:K8, 07-02-2025:K5, 07-02-2025:K9",79,image_level_random,limited_collection_dates_random,"Multiple collection dates were available, but temporal coverage was insufficient for a practical purely date-separated partition; image-level random splitting was therefore used.",Image-level random partitioning was used because collection-date coverage was insufficient for the date-separated strategy.,42.0
Tamarix nilotica (Ehrenb.) Bunge,True,1074,320,1394,77.0444763271162,22.95552367288379,2.955523672883789,8,"22-12-2023, 20-01-2024, 08-03-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025, 21-02-2025",6,"22-12-2023, 08-03-2024, 22-11-2024, 23-12-2024, 31-01-2025, 21-02-2025",2,"20-01-2024, 04-01-2025",False,0,,2,"K6, K12",2,"K6, K12",1,K12,True,1,K12,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Trichodesma africanum (L.) Sm.,True,323,167,490,65.91836734693878,34.08163265306122,14.08163265306122,3,"22-11-2024, 04-01-2025, 31-01-2025",2,"22-11-2024, 31-01-2025",1,04-01-2025,False,0,,1,K10,1,K10,0,,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Zilla spinosa (L.) Prantl,True,456,116,572,79.72027972027972,20.27972027972028,0.27972027972028,7,"22-12-2023, 20-01-2024, 08-03-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",7,"22-12-2023, 20-01-2024, 08-03-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",7,"22-12-2023, 20-01-2024, 08-03-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",True,7,"22-12-2023, 20-01-2024, 08-03-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",2,"K7, K12",2,"K7, K12",2,"K7, K12",True,2,"K7, K12",22-12-2023: Train[K12] | Validation[K12] | Shared[K12] ; 20-01-2024: Train[K7] | Validation[K7] | Shared[K7] ; 08-03-2024: Train[NA] | Validation[NA] | Shared[None] ; 22-11-2024: Train[NA] | Validation[NA] | Shared[None] ; 23-12-2024: Train[NA] | Validation[NA] | Shared[None] ; 04-01-2025: Train[NA] | Validation[NA] | Shared[None] ; 31-01-2025: Train[NA] | Validation[NA] | Shared[None],2,"22-12-2023:K12, 20-01-2024:K7",457,image_level_random,limited_collection_dates_random,"Multiple collection dates were available, but temporal coverage was insufficient for a practical purely date-separated partition; image-level random splitting was therefore used.",Image-level random partitioning was used because collection-date coverage was insufficient for the date-separated strategy.,42.0
Zygophyllum arabicum (L.) Christenh. & Byng,True,878,261,1139,77.08516242317822,22.91483757682177,2.914837576821771,5,"20-01-2024, 08-03-2024, 22-11-2024, 04-01-2025, 31-01-2025",4,"20-01-2024, 22-11-2024, 04-01-2025, 31-01-2025",1,08-03-2024,False,0,,2,"K6, K8",2,"K6, K8",0,,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Zygophyllum coccineum L.,True,668,194,862,77.49419953596288,22.505800464037122,2.5058004640371223,6,"22-12-2023, 20-01-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",5,"20-01-2024, 22-11-2024, 23-12-2024, 04-01-2025, 31-01-2025",1,22-12-2023,False,0,,4,"K9, K10, K11, K12",4,"K9, K10, K11, K12",0,,False,0,,,0,,0,date_separated,date_separated,Collection-date coverage allowed training and validation images to be separated by collection date.,Validation collection date(s) were selected primarily so that the resulting validation image count was as close as practical to approximately 20% of the species total while preserving collection-date separation.,
Zygophyllum molle (Delile) Christenh. & Byng,True,202,114,316,63.92405063291139,36.075949367088604,16.075949367088604,2,"20-01-2024, 31-01-2025",2,"20-01-2024, 31-01-2025",1,20-01-2024,True,1,20-01-2024,2,"K8, K12",1,K8,1,K12,False,0,,20-01-2024: Train[K8] | Validation[K12] | Shared[None],0,,0,site_separated,site_separated_with_date_overlap,"Training and validation shared a collection date, but images from that date were separated according to sampling site rather than by image-level random splitting.",Sampling-site separation was used for the shared collection date so that distinct site groups were assigned to training and validation.,
others,False,400,100,500,80.0,20.0,0.0,0,,0,,0,,False,0,,0,,0,,0,,False,0,,,0,,0,image_level_random,others_class,Non-target aggregate class handled separately using an image-level random Train/Validation split.,Handled separately from the 32 target plant species and excluded from species-level split-strategy percentages.,42.0
